tick,territory_id,owner_id,unrest,equilibrium,conquest_shock,base,compat_pressure,distance_pressure,infra_bonus,overexpansion,rapid_expansion,is_in_revolt,compat_total
24,costa_rica,nation_costa_rica,0.086149,0.071721,0.000000,0.020000,0.021721,0.000000,0.000000,0.030000,0.000000,0,0.960507
24,panama,nation_panama,0.018405,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
25,mexico_yucatan,,0.000000,0.000000,0.000000,,,,,,,0,
25,guatemala,nation_guatemala,0.018564,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
25,belize,nation_costa_rica,0.508863,0.475169,0.107807,0.020000,0.157362,0.160000,0.000000,0.030000,0.000000,0,0.713888
25,honduras,nation_costa_rica,0.239564,0.190280,0.033630,0.020000,0.026650,0.080000,0.000000,0.030000,0.000000,0,0.951545
25,el_salvador,,0.000000,0.000000,0.000000,,,,,,,0,
25,nicaragua,nation_costa_rica,0.167918,0.125478,0.022296,0.020000,0.013182,0.040000,0.000000,0.030000,0.000000,0,0.976032
25,costa_rica,nation_costa_rica,0.084706,0.071332,0.000000,0.020000,0.021332,0.000000,0.000000,0.030000,0.000000,0,0.961215
25,panama,nation_panama,0.018564,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
26,mexico_yucatan,,0.000000,0.000000,0.000000,,,,,,,0,
26,guatemala,nation_guatemala,0.018708,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
26,belize,nation_costa_rica,0.505493,0.470115,0.102997,0.020000,0.157118,0.160000,0.000000,0.030000,0.000000,0,0.714331
26,honduras,nation_costa_rica,0.234635,0.186751,0.030516,0.020000,0.026235,0.080000,0.000000,0.030000,0.000000,0,0.952300
26,el_salvador,,0.000000,0.000000,0.000000,,,,,,,0,
26,nicaragua,nation_costa_rica,0.163674,0.122928,0.019974,0.020000,0.012955,0.040000,0.000000,0.030000,0.000000,0,0.976446
26,costa_rica,nation_costa_rica,0.083369,0.070948,0.000000,0.020000,0.020948,0.000000,0.000000,0.030000,0.000000,0,0.961913
26,panama,nation_panama,0.018708,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
27,mexico_yucatan,,0.000000,0.000000,0.000000,,,,,,,0,
27,guatemala,nation_guatemala,0.018837,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
27,belize,nation_costa_rica,0.501956,0.465273,0.098399,0.020000,0.156874,0.160000,0.000000,0.030000,0.000000,0,0.714774
27,honduras,nation_costa_rica,0.229847,0.183511,0.027686,0.020000,0.025825,0.080000,0.000000,0.030000,0.000000,0,0.953046
27,el_salvador,,0.000000,0.000000,0.000000,,,,,,,0,
27,nicaragua,nation_costa_rica,0.159599,0.120623,0.017892,0.020000,0.012731,0.040000,0.000000,0.030000,0.000000,0,0.976853
27,costa_rica,nation_costa_rica,0.082127,0.070570,0.000000,0.020000,0.020570,0.000000,0.000000,0.030000,0.000000,0,0.962601
27,panama,nation_panama,0.018837,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
28,mexico_yucatan,,0.000000,0.000000,0.000000,,,,,,,0,
28,guatemala,nation_guatemala,0.018953,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
28,belize,nation_costa_rica,0.498287,0.460633,0.094003,0.020000,0.156630,0.160000,0.000000,0.030000,0.000000,0,0.715218
28,honduras,nation_costa_rica,0.225213,0.180535,0.025115,0.020000,0.025419,0.080000,0.000000,0.030000,0.000000,0,0.953783
28,el_salvador,,0.000000,0.000000,0.000000,,,,,,,0,
28,nicaragua,nation_costa_rica,0.155702,0.118536,0.016026,0.020000,0.012510,0.040000,0.000000,0.030000,0.000000,0,0.977254
28,costa_rica,nation_costa_rica,0.080971,0.070197,0.000000,0.020000,0.020197,0.000000,0.000000,0.030000,0.000000,0,0.963278
28,panama,nation_panama,0.018953,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
29,mexico_yucatan,,0.000000,0.000000,0.000000,,,,,,,0,
29,guatemala,nation_guatemala,0.019058,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
29,belize,nation_costa_rica,0.494522,0.456187,0.089801,0.020000,0.156386,0.160000,0.000000,0.030000,0.000000,0,0.715662
29,honduras,nation_costa_rica,0.220745,0.177799,0.022780,0.020000,0.025018,0.080000,0.000000,0.030000,0.000000,0,0.954512
29,el_salvador,,0.000000,0.000000,0.000000,,,,,,,0,
29,nicaragua,nation_costa_rica,0.151985,0.116647,0.014353,0.020000,0.012293,0.040000,0.000000,0.030000,0.000000,0,0.977648
29,costa_rica,nation_costa_rica,0.079894,0.069830,0.000000,0.020000,0.019830,0.000000,0.000000,0.030000,0.000000,0,0.963945
29,panama,nation_panama,0.019058,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
30,mexico_yucatan,,0.000000,0.000000,0.000000,,,,,,,0,
30,guatemala,nation_guatemala,0.019152,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
30,belize,nation_costa_rica,0.490688,0.451926,0.085784,0.020000,0.156141,0.160000,0.000000,0.030000,0.000000,0,0.716107
30,honduras,nation_costa_rica,0.216451,0.175282,0.020660,0.020000,0.024622,0.080000,0.000000,0.030000,0.000000,0,0.955232
30,el_salvador,,0.000000,0.000000,0.000000,,,,,,,0,
30,nicaragua,nation_costa_rica,0.148451,0.114935,0.012855,0.020000,0.012080,0.040000,0.000000,0.030000,0.000000,0,0.978036
30,costa_rica,nation_costa_rica,0.078887,0.069469,0.000000,0.020000,0.019469,0.000000,0.000000,0.030000,0.000000,0,0.964602
30,panama,nation_panama,0.019152,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
