tick,nation_id,pop_stock,ind_stock,wealth_stock,army_size,culture_individualist,culture_progressive,culture_militaristic,culture_expansionist,culture_family
19,nation_honduras,30.78,10.26,-37.24,,-0.400000,-0.400000,0.100000,-0.100000,latin
19,nation_panama,6.08,6.08,-35.34,,0.100000,0.200000,-0.400000,-0.300000,latin
19,nation_independent_costa_rica_11,4.00,4.00,5.60,,0.085109,0.288832,-0.773941,-0.581386,latin
19,nation_independent_nicaragua_13,4.32,1.44,2.16,,-0.257172,0.032121,-0.174949,-0.153535,latin
20,nation_costa_rica,14.86,8.62,-12.62,,0.000000,0.000000,0.000000,0.000000,
20,nation_guatemala,78.40,22.40,-22.00,,-0.400000,-0.500000,0.200000,0.100000,latin
20,nation_honduras,32.40,10.80,-39.20,,-0.400000,-0.400000,0.100000,-0.100000,latin
20,nation_panama,6.40,6.40,-37.20,,0.100000,0.200000,-0.400000,-0.300000,latin
20,nation_independent_costa_rica_11,4.50,4.50,6.30,,0.085109,0.288832,-0.773941,-0.581386,latin
20,nation_independent_nicaragua_13,5.04,1.68,2.52,,-0.257172,0.032121,-0.174949,-0.153535,latin
21,nation_costa_rica,14.86,8.62,-14.12,,0.000000,0.000000,0.000000,0.000000,
21,nation_guatemala,82.32,23.52,-23.10,,-0.400000,-0.500000,0.200000,0.100000,latin
21,nation_honduras,34.02,11.34,-41.16,,-0.400000,-0.400000,0.100000,-0.100000,latin
21,nation_panama,6.72,6.72,-39.06,,0.100000,0.200000,-0.400000,-0.300000,latin
21,nation_independent_costa_rica_11,5.00,5.00,7.00,,0.085109,0.288832,-0.773941,-0.581386,latin
21,nation_independent_nicaragua_13,5.76,1.92,2.88,,-0.257172,0.032121,-0.174949,-0.153535,latin
22,nation_costa_rica,14.86,8.62,-15.62,,0.000000,0.000000,0.000000,0.000000,
22,nation_guatemala,86.24,24.64,-24.20,,-0.400000,-0.500000,0.200000,0.100000,latin
22,nation_honduras,35.64,11.88,-43.12,,-0.400000,-0.400000,0.100000,-0.100000,latin
22,nation_panama,7.04,7.04,-40.92,,0.100000,0.200000,-0.400000,-0.300000,latin
22,nation_independent_costa_rica_11,5.50,5.50,7.70,,0.085109,0.288832,-0.773941,-0.581386,latin
22,nation_independent_nicaragua_13,6.48,2.16,3.24,,-0.257172,0.032121,-0.174949,-0.153535,latin
23,nation_costa_rica,14.86,8.62,-17.12,,0.000000,0.000000,0.000000,0.000000,
23,nation_guatemala,90.16,25.76,-25.30,,-0.400000,-0.500000,0.200000,0.100000,latin
23,nation_honduras,37.26,12.42,-45.08,,-0.400000,-0.400000,0.100000,-0.100000,latin
23,nation_panama,7.36,7.36,-42.78,,0.100000,0.200000,-0.400000,-0.300000,latin
23,nation_independent_costa_rica_11,6.00,6.00,8.40,,0.085109,0.288832,-0.773941,-0.581386,latin
23,nation_independent_nicaragua_13,7.20,2.40,3.60,,-0.257172,0.032121,-0.174949,-0.153535,latin
24,nation_costa_rica,14.86,8.62,-18.62,,0.000000,0.000000,0.000000,0.000000,
24,nation_guatemala,94.08,26.88,-26.40,,-0.400000,-0.500000,0.200000,0.100000,latin
24,nation_honduras,38.88,12.96,-47.04,,-0.400000,-0.400000,0.100000,-0.100000,latin
24,nation_panama,7.68,7.68,-44.64,,0.100000,0.200000,-0.400000,-0.300000,latin
24,nation_independent_costa_rica_11,6.50,6.50,9.10,,0.085109,0.288832,-0.773941,-0.581386,latin
24,nation_independent_nicaragua_13,7.92,2.64,3.96,,-0.257172,0.032121,-0.174949,-0.153535,latin
25,nation_costa_rica,14.86,8.62,-20.12,,0.000000,0.000000,0.000000,0.000000,
25,nation_guatemala,98.00,28.00,-27.50,,-0.400000,-0.500000,0.200000,0.100000,latin
25,nation_honduras,40.50,13.50,-49.00,,-0.400000,-0.400000,0.100000,-0.100000,latin
25,nation_panama,8.00,8.00,-46.50,,0.100000,0.200000,-0.400000,-0.300000,latin
25,nation_independent_costa_rica_11,7.00,7.00,9.80,,0.085109,0.288832,-0.773941,-0.581386,latin
25,nation_independent_nicaragua_13,8.64,2.88,4.32,,-0.257172,0.032121,-0.174949,-0.153535,latin
